state,city,isolation,date,acronym
Amapá,Tartarugalzinho,0.6804088606735742,2020-06-14,AP
Amapá,Porto Grande,0.5384599989470572,2020-06-14,AP
Amapá,Amapá,0.5742553892126245,2020-06-14,AP
Amapá,Serra do Navio,0.5432082710994373,2020-06-14,AP
Amapá,Laranjal do Jari,0.4827578545939623,2020-06-14,AP
Amapá,Santana,0.5125661449742477,2020-06-14,AP
Amapá,Macapá,0.5172522606014768,2020-06-14,AP
Amapá,Ferreira Gomes,0.5522370751623216,2020-06-14,AP
Amapá,Pedra Branca do Amapari,0.5116267400394202,2020-06-14,AP
Amapá,Mazagão,0.5483854194462261,2020-06-14,AP
Amapá,Vitória do Jari,0.5593202047419208,2020-06-14,AP
Amapá,Calçoene,0.5038157354108358,2020-06-14,AP
Amapá,Santana,0.4377906976744186,2020-06-13,AP
Amapá,Porto Grande,0.4240282685512367,2020-06-13,AP
Amapá,Mazagão,0.4814814814814814,2020-06-13,AP
Amapá,Laranjal do Jari,0.4318181818181818,2020-06-13,AP
Amapá,Amapá,0.4845360824742268,2020-06-13,AP
Amapá,Serra do Navio,0.5384615384615384,2020-06-13,AP
Amapá,Calçoene,0.4444444444444444,2020-06-13,AP
Amapá,Ferreira Gomes,0.4876033057851239,2020-06-13,AP
Amapá,Pedra Branca do Amapari,0.4419889502762431,2020-06-13,AP
Amapá,Tartarugalzinho,0.5533980582524272,2020-06-13,AP
Amapá,Macapá,0.4432896714623148,2020-06-13,AP
Amapá,Mazagão,0.4532710280373832,2020-06-12,AP
Amapá,Vitória do Jari,0.59375,2020-06-12,AP
Amapá,Calçoene,0.4645669291338583,2020-06-12,AP
Amapá,Ferreira Gomes,0.5403225806451613,2020-06-12,AP
Amapá,Serra do Navio,0.5,2020-06-12,AP
Amapá,Tartarugalzinho,0.5346534653465347,2020-06-12,AP
Amapá,Pedra Branca do Amapari,0.4792899408284023,2020-06-12,AP
Amapá,Porto Grande,0.4256055363321799,2020-06-12,AP
Amapá,Santana,0.4158891716143624,2020-06-12,AP
Amapá,Amapá,0.4615384615384615,2020-06-12,AP
Amapá,Laranjal do Jari,0.3439490445859872,2020-06-12,AP
Amapá,Macapá,0.4100395523016073,2020-06-12,AP
Amapá,Porto Grande,0.4195804195804196,2020-06-11,AP
Amapá,Vitória do Jari,0.4444444444444444,2020-06-11,AP
Amapá,Calçoene,0.5158730158730159,2020-06-11,AP
Amapá,Santana,0.4605411499436302,2020-06-11,AP
Amapá,Pedra Branca do Amapari,0.5227272727272727,2020-06-11,AP
Amapá,Mazagão,0.4716157205240174,2020-06-11,AP
Amapá,Ferreira Gomes,0.4409448818897638,2020-06-11,AP
Amapá,Macapá,0.455385503898354,2020-06-11,AP
Amapá,Laranjal do Jari,0.4039735099337748,2020-06-11,AP
Amapá,Amapá,0.5523809523809524,2020-06-11,AP
Amapá,Serra do Navio,0.5813953488372093,2020-06-11,AP
Amapá,Tartarugalzinho,0.6407766990291263,2020-06-11,AP
Amapá,Ferreira Gomes,0.4523809523809524,2020-06-10,AP
Amapá,Calçoene,0.456,2020-06-10,AP
Amapá,Porto Grande,0.4419475655430712,2020-06-10,AP
Amapá,Macapá,0.4307744884446153,2020-06-10,AP
Amapá,Amapá,0.4857142857142857,2020-06-10,AP
Amapá,Serra do Navio,0.4794520547945205,2020-06-10,AP
Amapá,Pedra Branca do Amapari,0.4404761904761904,2020-06-10,AP
Amapá,Tartarugalzinho,0.4711538461538461,2020-06-10,AP
Amapá,Santana,0.4350592999710732,2020-06-10,AP
Amapá,Vitória do Jari,0.4915254237288136,2020-06-10,AP
Amapá,Laranjal do Jari,0.4046052631578947,2020-06-10,AP
Amapá,Mazagão,0.3878504672897196,2020-06-10,AP
Amapá,Amapá,0.4230769230769231,2020-06-09,AP
Amapá,Serra do Navio,0.6144578313253012,2020-06-09,AP
Amapá,Calçoene,0.464,2020-06-09,AP
Amapá,Mazagão,0.3864734299516908,2020-06-09,AP
Amapá,Pedra Branca do Amapari,0.5144508670520231,2020-06-09,AP
Amapá,Macapá,0.4206855990589817,2020-06-09,AP
Amapá,Porto Grande,0.4146341463414634,2020-06-09,AP
Amapá,Tartarugalzinho,0.4954954954954955,2020-06-09,AP
Amapá,Vitória do Jari,0.4464285714285714,2020-06-09,AP
Amapá,Ferreira Gomes,0.4545454545454545,2020-06-09,AP
Amapá,Laranjal do Jari,0.4280821917808219,2020-06-09,AP
Amapá,Santana,0.44,2020-06-09,AP
Amapá,Pedra Branca do Amapari,0.440251572327044,2020-06-08,AP
Amapá,Laranjal do Jari,0.4393442622950819,2020-06-08,AP
Amapá,Calçoene,0.4418604651162791,2020-06-08,AP
Amapá,Porto Grande,0.4716981132075472,2020-06-08,AP
Amapá,Mazagão,0.4454545454545454,2020-06-08,AP
Amapá,Tartarugalzinho,0.4821428571428571,2020-06-08,AP
Amapá,Macapá,0.4351935001069061,2020-06-08,AP
Amapá,Vitória do Jari,0.5454545454545454,2020-06-08,AP
Amapá,Santana,0.4406085430076067,2020-06-08,AP
Amapá,Serra do Navio,0.48,2020-06-08,AP
Amapá,Amapá,0.4588235294117647,2020-06-08,AP
Amapá,Ferreira Gomes,0.3879310344827586,2020-06-08,AP
Amapá,Macapá,0.5230843926553672,2020-06-07,AP
Amapá,Laranjal do Jari,0.4967948717948718,2020-06-07,AP
Amapá,Pedra Branca do Amapari,0.5263157894736842,2020-06-07,AP
Amapá,Tartarugalzinho,0.5242718446601942,2020-06-07,AP
Amapá,Vitória do Jari,0.6923076923076923,2020-06-07,AP
Amapá,Mazagão,0.5227272727272727,2020-06-07,AP
