state,city,isolation,date,acronym
Distrito Federal,Brasília,0.482821843329838,2020-06-14,DF
Distrito Federal,Brasília,0.4053564810089866,2020-06-13,DF
Distrito Federal,Brasília,0.372710929007442,2020-06-12,DF
Distrito Federal,Brasília,0.4451398406172275,2020-06-11,DF
Distrito Federal,Brasília,0.3936308514732036,2020-06-10,DF
Distrito Federal,Brasília,0.3828299805120485,2020-06-09,DF
Distrito Federal,Brasília,0.3926744423981993,2020-06-08,DF
Distrito Federal,Brasília,0.4769200868128664,2020-06-07,DF
Distrito Federal,Brasília,0.3983091007000539,2020-06-06,DF
Distrito Federal,Brasília,0.3884192979541081,2020-06-05,DF
Distrito Federal,Brasília,0.3874734173073777,2020-06-04,DF
Distrito Federal,Brasília,0.3947779444707043,2020-06-03,DF
Distrito Federal,Brasília,0.4040063193091707,2020-06-02,DF
Distrito Federal,Brasília,0.4084771328899693,2020-06-01,DF
Distrito Federal,Brasília,0.4949565329245677,2020-05-31,DF
Distrito Federal,Brasília,0.4228207264856479,2020-05-30,DF
Distrito Federal,Brasília,0.3921803240292869,2020-05-29,DF
Distrito Federal,Brasília,0.40842470121161,2020-05-28,DF
Distrito Federal,Brasília,0.4054224112122027,2020-05-27,DF
Distrito Federal,Brasília,0.4110997178902476,2020-05-26,DF
Distrito Federal,Brasília,0.4214133847880854,2020-05-25,DF
Distrito Federal,Brasília,0.5136764402117783,2020-05-24,DF
Distrito Federal,Brasília,0.4330955216263343,2020-05-23,DF
Distrito Federal,Brasília,0.398685731165688,2020-05-22,DF
Distrito Federal,Brasília,0.4120823559002736,2020-05-21,DF
Distrito Federal,Brasília,0.4120352899178948,2020-05-20,DF
Distrito Federal,Brasília,0.4205495941847789,2020-05-19,DF
Distrito Federal,Brasília,0.4248427328778189,2020-05-18,DF
Distrito Federal,Brasília,0.5176014785996411,2020-05-17,DF
Distrito Federal,Brasília,0.4472328924546973,2020-05-16,DF
Distrito Federal,Brasília,0.4121589833859296,2020-05-15,DF
Distrito Federal,Brasília,0.4194589955465778,2020-05-14,DF
Distrito Federal,Brasília,0.4213112003607269,2020-05-13,DF
Distrito Federal,Brasília,0.4277381077391578,2020-05-12,DF
Distrito Federal,Brasília,0.429171732121148,2020-05-11,DF
Distrito Federal,Brasília,0.4539737677427082,2020-05-10,DF
Distrito Federal,Brasília,0.4249109901741705,2020-05-09,DF
Distrito Federal,Brasília,0.4009641606515674,2020-05-08,DF
Distrito Federal,Brasília,0.4289047566965099,2020-05-07,DF
Distrito Federal,Brasília,0.4220057024256273,2020-05-06,DF
Distrito Federal,Brasília,0.4236038552572659,2020-05-05,DF
Distrito Federal,Brasília,0.4374588509568164,2020-05-04,DF
Distrito Federal,Brasília,0.4960225829216655,2020-05-03,DF
Distrito Federal,Brasília,0.4444177536940309,2020-05-02,DF
Distrito Federal,Brasília,0.4933703211014135,2020-05-01,DF
Distrito Federal,Brasília,0.4214472592687129,2020-04-30,DF
Distrito Federal,Brasília,0.4300511229456199,2020-04-29,DF
Distrito Federal,Brasília,0.4410168308592596,2020-04-28,DF
Distrito Federal,Brasília,0.4450839225922399,2020-04-27,DF
Distrito Federal,Brasília,0.5277057969395733,2020-04-26,DF
Distrito Federal,Brasília,0.460541673226316,2020-04-25,DF
