state,city,isolation,date,acronym
Espírito Santo,Águia Branca,0.4673907516228444,2020-06-14,ES
Espírito Santo,São Gabriel da Palha,0.430232521352921,2020-06-14,ES
Espírito Santo,Viana,0.4922321120639131,2020-06-14,ES
Espírito Santo,Colatina,0.5279868728312448,2020-06-14,ES
Espírito Santo,Vila Pavão,0.4838701862016277,2020-06-14,ES
Espírito Santo,Itaguaçu,0.4536078860714297,2020-06-14,ES
Espírito Santo,Alfredo Chaves,0.5074172891366,2020-06-14,ES
Espírito Santo,Itarana,0.5072452707105403,2020-06-14,ES
Espírito Santo,Laranja da Terra,0.4965025395642065,2020-06-14,ES
Espírito Santo,São Domingos do Norte,0.4495409795210158,2020-06-14,ES
Espírito Santo,Guaçuí,0.4772175362507461,2020-06-14,ES
Espírito Santo,Marechal Floriano,0.470485515415639,2020-06-14,ES
Espírito Santo,Santa Maria de Jetibá,0.4581493553265787,2020-06-14,ES
Espírito Santo,Marataízes,0.4924672335053691,2020-06-14,ES
Espírito Santo,Iconha,0.4596486775799716,2020-06-14,ES
Espírito Santo,Fundão,0.4712322706482338,2020-06-14,ES
Espírito Santo,Jaguaré,0.4148149920990762,2020-06-14,ES
Espírito Santo,Afonso Cláudio,0.4265306268587246,2020-06-14,ES
Espírito Santo,Santa Leopoldina,0.5386889334972612,2020-06-14,ES
Espírito Santo,Vila Valério,0.3527142178419695,2020-06-14,ES
Espírito Santo,Cariacica,0.4930129831979783,2020-06-14,ES
Espírito Santo,São Roque do Canaã,0.5048066200670625,2020-06-14,ES
Espírito Santo,Iúna,0.4620848290041036,2020-06-14,ES
Espírito Santo,Bom Jesus do Norte,0.4603170058107427,2020-06-14,ES
Espírito Santo,Castelo,0.5457126454975213,2020-06-14,ES
Espírito Santo,Água Doce do Norte,0.5757555183984799,2020-06-14,ES
Espírito Santo,Pinheiros,0.4812199125354765,2020-06-14,ES
Espírito Santo,Vargem Alta,0.4953694291642067,2020-06-14,ES
Espírito Santo,Boa Esperança,0.5555537786956259,2020-06-14,ES
Espírito Santo,Guarapari,0.5017943017215588,2020-06-14,ES
Espírito Santo,Rio Novo do Sul,0.4684204856088423,2020-06-14,ES
Espírito Santo,Vila Velha,0.5054031290717436,2020-06-14,ES
Espírito Santo,Santa Teresa,0.4648824252466959,2020-06-14,ES
Espírito Santo,Conceição do Castelo,0.4372293032931952,2020-06-14,ES
Espírito Santo,Dores do Rio Preto,0.553189745326143,2020-06-14,ES
Espírito Santo,Ibatiba,0.4311223998371029,2020-06-14,ES
Espírito Santo,Barra de São Francisco,0.4370545003198586,2020-06-14,ES
