state,city,isolation,date,acronym
Mato Grosso,Colíder,0.4612240226953606,2020-06-14,MT
Mato Grosso,Barra do Bugres,0.4863805065613397,2020-06-14,MT
Mato Grosso,Vera,0.4565213373262002,2020-06-14,MT
Mato Grosso,Água Boa,0.5331111175356673,2020-06-14,MT
Mato Grosso,Campinápolis,0.5737684620342648,2020-06-14,MT
Mato Grosso,Nova Canaã do Norte,0.3783790615719467,2020-06-14,MT
Mato Grosso,Brasnorte,0.5092581252099189,2020-06-14,MT
Mato Grosso,Vila Rica,0.5049989250892337,2020-06-14,MT
Mato Grosso,Nova Mutum,0.4952931774996419,2020-06-14,MT
Mato Grosso,Nova Ubiratã,0.5229344558726691,2020-06-14,MT
Mato Grosso,Porto Alegre do Norte,0.4215687109605205,2020-06-14,MT
Mato Grosso,Chapada dos Guimarães,0.5269447281583506,2020-06-14,MT
Mato Grosso,Sorriso,0.4596215482767894,2020-06-14,MT
Mato Grosso,Rondonópolis,0.5174868280075373,2020-06-14,MT
Mato Grosso,Tabaporã,0.5189860726512192,2020-06-14,MT
Mato Grosso,Paranaíta,0.5999976060419049,2020-06-14,MT
Mato Grosso,Cotriguaçu,0.5932180391585741,2020-06-14,MT
Mato Grosso,São José do Rio Claro,0.4545450801813558,2020-06-14,MT
Mato Grosso,Rosário Oeste,0.5471681508944413,2020-06-14,MT
Mato Grosso,Novo São Joaquim,0.4507039043223624,2020-06-14,MT
Mato Grosso,Campos de Júlio,0.5323726457272432,2020-06-14,MT
Mato Grosso,Alto Taquari,0.4011979711456753,2020-06-14,MT
Mato Grosso,Terra Nova do Norte,0.4852933163467293,2020-06-14,MT
Mato Grosso,Peixoto de Azevedo,0.410526552618295,2020-06-14,MT
Mato Grosso,Araputanga,0.4494378987958028,2020-06-14,MT
Mato Grosso,Diamantino,0.4553187638295501,2020-06-14,MT
Mato Grosso,Jaciara,0.4681642305428304,2020-06-14,MT
Mato Grosso,Poxoréu,0.5419831443914187,2020-06-14,MT
Mato Grosso,Acorizal,0.4166668182385046,2020-06-14,MT
Mato Grosso,Nova Xavantina,0.4797040733537294,2020-06-14,MT
Mato Grosso,Canarana,0.487804041887274,2020-06-14,MT
Mato Grosso,Sapezal,0.4842292691324883,2020-06-14,MT
Mato Grosso,Aripuanã,0.3983054912628174,2020-06-14,MT
Mato Grosso,Lucas do Rio Verde,0.5161278028239269,2020-06-14,MT
Mato Grosso,Tangará da Serra,0.4924569519395956,2020-06-14,MT
Mato Grosso,Bom Jesus do Araguaia,0.4642852046809462,2020-06-14,MT
Mato Grosso,Comodoro,0.5496671790471122,2020-06-14,MT
Mato Grosso,Juscimeira,0.423529468049327,2020-06-14,MT
Mato Grosso,Nova Olímpia,0.4466016776768357,2020-06-14,MT
Mato Grosso,Dom Aquino,0.4999989945127773,2020-06-14,MT
Mato Grosso,Santo Antônio do Leste,0.6538430122498965,2020-06-14,MT
Mato Grosso,Juara,0.4395159633459665,2020-06-14,MT
Mato Grosso,Carlinda,0.5098027799568094,2020-06-14,MT
Mato Grosso,São José do Xingu,0.4499996887482137,2020-06-14,MT
Mato Grosso,Pedra Preta,0.4360463941162424,2020-06-14,MT
Mato Grosso,Campo Verde,0.4795590267473896,2020-06-14,MT
Mato Grosso,Guarantã do Norte,0.4833325592579228,2020-06-14,MT
Mato Grosso,São José dos Quatro Marcos,0.4000003829836499,2020-06-14,MT
Mato Grosso,Paranatinga,0.4779109477894762,2020-06-14,MT
Mato Grosso,Alta Floresta,0.4699787074077599,2020-06-14,MT
Mato Grosso,Barra do Garças,0.4710626533569733,2020-06-14,MT
Mato Grosso,Nova Maringá,0.5961515055984768,2020-06-14,MT
Mato Grosso,Primavera do Leste,0.4957417215526915,2020-06-14,MT
Mato Grosso,Ribeirão Cascalheira,0.467889348608929,2020-06-14,MT
Mato Grosso,Arenápolis,0.4237288670753073,2020-06-14,MT
Mato Grosso,Nossa Senhora do Livramento,0.5473667578686798,2020-06-14,MT
Mato Grosso,Nobres,0.4705876381806811,2020-06-14,MT
Mato Grosso,Colniza,0.4535515519992483,2020-06-14,MT
Mato Grosso,Cuiabá,0.494968465875538,2020-06-14,MT
Mato Grosso,Juruena,0.402985416163624,2020-06-14,MT
Mato Grosso,Tapurah,0.5246900097051546,2020-06-14,MT
Mato Grosso,Cláudia,0.4062502962042205,2020-06-14,MT
Mato Grosso,Juína,0.4639764399273569,2020-06-14,MT
Mato Grosso,São Félix do Araguaia,0.5680453869734261,2020-06-14,MT
Mato Grosso,Mirassol d'Oeste,0.3990829645292543,2020-06-14,MT
Mato Grosso,Pontes e Lacerda,0.4671047144045119,2020-06-14,MT
Mato Grosso,Santa Terezinha,0.6862709179493873,2020-06-14,MT
Mato Grosso,Alto Garças,0.4303029925379311,2020-06-14,MT
Mato Grosso,Guiratinga,0.4729723427481483,2020-06-14,MT
Mato Grosso,Alto Araguaia,0.3478271943597574,2020-06-14,MT
Mato Grosso,Santo Antônio de Leverger,0.5108347573719707,2020-06-14,MT
Mato Grosso,Campo Novo do Parecis,0.4579575362122433,2020-06-14,MT
Mato Grosso,Feliz Natal,0.4499996887482137,2020-06-14,MT
Mato Grosso,Poconé,0.3754519873736115,2020-06-14,MT
Mato Grosso,Cáceres,0.4712356239995032,2020-06-14,MT
Mato Grosso,Vila Bela da Santíssima Trindade,0.489129580216133,2020-06-14,MT
Mato Grosso,Pontal do Araguaia,0.5737684620342649,2020-06-14,MT
Mato Grosso,Querência,0.4683189936151199,2020-06-14,MT
Mato Grosso,Marcelândia,0.4133335311875336,2020-06-14,MT
Mato Grosso,Nortelândia,0.4000003829836499,2020-06-14,MT
Mato Grosso,Confresa,0.5221225811342657,2020-06-14,MT
Mato Grosso,Sinop,0.4839180698482714,2020-06-14,MT
Mato Grosso,Gaúcha do Norte,0.4933324204108356,2020-06-14,MT
Mato Grosso,Alto Boa Vista,0.3928576250172836,2020-06-14,MT
Mato Grosso,Porto Esperidião,0.5999976060419049,2020-06-14,MT
Mato Grosso,Matupá,0.384615981209938,2020-06-14,MT
Mato Grosso,Santa Rita do Trivelato,0.5172401344315924,2020-06-14,MT
Mato Grosso,Ipiranga do Norte,0.4999989945127773,2020-06-14,MT
Mato Grosso,Itiquira,0.5241922069795019,2020-06-14,MT
Mato Grosso,Jauru,0.6031721651380675,2020-06-14,MT
Mato Grosso,Cocalinho,0.4631574007915199,2020-06-14,MT
Mato Grosso,Várzea Grande,0.4663535469417633,2020-06-14,MT
Mato Grosso,Alto Araguaia,0.3181818181818182,2020-06-13,MT
Mato Grosso,Gaúcha do Norte,0.5066666666666667,2020-06-13,MT
Mato Grosso,Alto Taquari,0.3089887640449438,2020-06-13,MT
Mato Grosso,Canarana,0.3906976744186046,2020-06-13,MT
Mato Grosso,Santa Rita do Trivelato,0.3898305084745763,2020-06-13,MT
Mato Grosso,Querência,0.3492957746478873,2020-06-13,MT
Mato Grosso,Nova Canaã do Norte,0.3333333333333333,2020-06-13,MT
Mato Grosso,Denise,0.2786885245901639,2020-06-13,MT
Mato Grosso,Itiquira,0.4396551724137931,2020-06-13,MT
Mato Grosso,Cáceres,0.3955916473317865,2020-06-13,MT
Mato Grosso,Rondonópolis,0.4820445609436435,2020-06-13,MT
Mato Grosso,Santa Terezinha,0.5932203389830508,2020-06-13,MT
Mato Grosso,Barra do Bugres,0.3396946564885496,2020-06-13,MT
Mato Grosso,Tabaporã,0.4027777777777778,2020-06-13,MT
Mato Grosso,São Félix do Araguaia,0.4465408805031446,2020-06-13,MT
Mato Grosso,Matupá,0.2972972972972973,2020-06-13,MT
Mato Grosso,Guiratinga,0.3513513513513513,2020-06-13,MT
Mato Grosso,Nova Olímpia,0.3413461538461538,2020-06-13,MT
Mato Grosso,São José do Rio Claro,0.3950617283950617,2020-06-13,MT
Mato Grosso,Castanheira,0.4615384615384615,2020-06-13,MT
Mato Grosso,Jaciara,0.3568773234200743,2020-06-13,MT
Mato Grosso,Porto Alegre do Norte,0.3465346534653465,2020-06-13,MT
Mato Grosso,Paranaíta,0.3818181818181818,2020-06-13,MT
Mato Grosso,Mirassol d'Oeste,0.3514644351464435,2020-06-13,MT
Mato Grosso,Tapurah,0.4695121951219512,2020-06-13,MT
Mato Grosso,Guarantã do Norte,0.3888888888888889,2020-06-13,MT
Mato Grosso,Tangará da Serra,0.3967538322813345,2020-06-13,MT
Mato Grosso,São José do Xingu,0.3859649122807017,2020-06-13,MT
Mato Grosso,Alto Boa Vista,0.3818181818181818,2020-06-13,MT
Mato Grosso,Bom Jesus do Araguaia,0.5,2020-06-13,MT
Mato Grosso,Barra do Garças,0.4427792915531335,2020-06-13,MT
Mato Grosso,Cotriguaçu,0.392156862745098,2020-06-13,MT
Mato Grosso,Nova Bandeirantes,0.3888888888888889,2020-06-13,MT
Mato Grosso,Novo São Joaquim,0.4473684210526316,2020-06-13,MT
Mato Grosso,Campos de Júlio,0.3902439024390244,2020-06-13,MT
Mato Grosso,Nossa Senhora do Livramento,0.4302325581395348,2020-06-13,MT
Mato Grosso,Alta Floresta,0.4122448979591837,2020-06-13,MT
Mato Grosso,Porto Esperidião,0.5849056603773585,2020-06-13,MT
Mato Grosso,Vila Rica,0.3166666666666666,2020-06-13,MT
Mato Grosso,Nova Ubiratã,0.4434782608695652,2020-06-13,MT
Mato Grosso,Alto Garças,0.3216374269005848,2020-06-13,MT
Mato Grosso,Ribeirão Cascalheira,0.4205607476635514,2020-06-13,MT
Mato Grosso,Chapada dos Guimarães,0.379746835443038,2020-06-13,MT
Mato Grosso,Marcelândia,0.3289473684210526,2020-06-13,MT
Mato Grosso,Sapezal,0.3740458015267175,2020-06-13,MT
Mato Grosso,Água Boa,0.392156862745098,2020-06-13,MT
Mato Grosso,Juara,0.3717948717948718,2020-06-13,MT
Mato Grosso,Campo Verde,0.3863987635239567,2020-06-13,MT
Mato Grosso,Feliz Natal,0.4936708860759494,2020-06-13,MT
Mato Grosso,Dom Aquino,0.4464285714285714,2020-06-13,MT
Mato Grosso,Poxoréu,0.4563758389261745,2020-06-13,MT
Mato Grosso,Nova Mutum,0.4007352941176471,2020-06-13,MT
Mato Grosso,Araputanga,0.3703703703703703,2020-06-13,MT
Mato Grosso,Várzea Grande,0.3696478337978211,2020-06-13,MT
Mato Grosso,Juscimeira,0.3815789473684211,2020-06-13,MT
Mato Grosso,Comodoro,0.39568345323741,2020-06-13,MT
Mato Grosso,Paranatinga,0.421259842519685,2020-06-13,MT
Mato Grosso,Peixoto de Azevedo,0.4065420560747663,2020-06-13,MT
Mato Grosso,Santo Antônio do Leste,0.5818181818181818,2020-06-13,MT
Mato Grosso,Nobres,0.4424778761061947,2020-06-13,MT
Mato Grosso,Lucas do Rio Verde,0.3991894630192502,2020-06-13,MT
Mato Grosso,Juína,0.3857142857142857,2020-06-13,MT
Mato Grosso,Pontal do Araguaia,0.423728813559322,2020-06-13,MT
Mato Grosso,Jauru,0.3636363636363636,2020-06-13,MT
Mato Grosso,Diamantino,0.3568627450980392,2020-06-13,MT
Mato Grosso,Nortelândia,0.4,2020-06-13,MT
