state,city,isolation,date,acronym
Paraná,Formosa do Oeste,0.3703711647527974,2020-06-14,PR
Paraná,São João do Caiuá,0.4492750611284374,2020-06-14,PR
Paraná,Tamboara,0.3333346419642317,2020-06-14,PR
Paraná,São João do Ivaí,0.4184398432656168,2020-06-14,PR
Paraná,Atalaia,0.4731176473275281,2020-06-14,PR
Paraná,São Carlos do Ivaí,0.4227642945512562,2020-06-14,PR
Paraná,Dois Vizinhos,0.4511037743644657,2020-06-14,PR
Paraná,Bela Vista do Paraíso,0.4498378786971956,2020-06-14,PR
Paraná,São Jorge do Ivaí,0.3820231045065034,2020-06-14,PR
Paraná,Cruz Machado,0.515150299289918,2020-06-14,PR
Paraná,Balsa Nova,0.5043657461079359,2020-06-14,PR
Paraná,Salto do Lontra,0.4503308099784426,2020-06-14,PR
Paraná,Corbélia,0.4793096266101995,2020-06-14,PR
Paraná,Vitorino,0.4426227419960649,2020-06-14,PR
Paraná,Mercedes,0.5070411502542652,2020-06-14,PR
Paraná,Rebouças,0.4285714148491149,2020-06-14,PR
Paraná,Fênix,0.4313724964045526,2020-06-14,PR
Paraná,Coronel Vivida,0.5095530019837132,2020-06-14,PR
Paraná,Iporã,0.4890821155248814,2020-06-14,PR
Paraná,Cambé,0.4403076436208066,2020-06-14,PR
Paraná,Enéas Marques,0.4492750611284374,2020-06-14,PR
Paraná,Ibaiti,0.4851744025071117,2020-06-14,PR
Paraná,São João,0.4171780585837454,2020-06-14,PR
Paraná,Chopinzinho,0.4479635179252224,2020-06-14,PR
Paraná,Tomazina,0.3589753115870848,2020-06-14,PR
Paraná,Loanda,0.3753358460917473,2020-06-14,PR
Paraná,Borrazópolis,0.4240506819590098,2020-06-14,PR
Paraná,Congonhinhas,0.515788248964745,2020-06-14,PR
Paraná,Nossa Senhora das Graças,0.5087708025416483,2020-06-14,PR
Paraná,Pato Branco,0.5023718429219431,2020-06-14,PR
Paraná,Mamborê,0.4201184468415809,2020-06-14,PR
Paraná,Jesuítas,0.4699994110540392,2020-06-14,PR
Paraná,Santo Antônio do Sudoeste,0.4680845440247581,2020-06-14,PR
Paraná,Nova Londrina,0.3333346419642317,2020-06-14,PR
Paraná,São Pedro do Iguaçu,0.4999989945127773,2020-06-14,PR
Paraná,Foz do Iguaçu,0.523841580711868,2020-06-14,PR
Paraná,Joaquim Távora,0.5746248240121262,2020-06-14,PR
Paraná,Barracão,0.4591832347049703,2020-06-14,PR
Paraná,Roncador,0.4740734285607814,2020-06-14,PR
Paraná,Maria Helena,0.6190449606188815,2020-06-14,PR
Paraná,Ibema,0.4675319128474762,2020-06-14,PR
Paraná,Palmital,0.4470585531150041,2020-06-14,PR
Paraná,Mangueirinha,0.4370859607692867,2020-06-14,PR
Paraná,Marilena,0.4943810949886689,2020-06-14,PR
Paraná,Santa Lúcia,0.4736835704261649,2020-06-14,PR
Paraná,Tupãssi,0.560745814600565,2020-06-14,PR
Paraná,São João do Triunfo,0.5663697543772425,2020-06-14,PR
Paraná,Santa Helena,0.5589105632383964,2020-06-14,PR
Paraná,Marumbi,0.5454529088441988,2020-06-14,PR
Paraná,Ivaí,0.5419831443914187,2020-06-14,PR
Paraná,Quedas do Iguaçu,0.4784165603698002,2020-06-14,PR
Paraná,Santa Isabel do Ivaí,0.3796302954499388,2020-06-14,PR
Paraná,Nova Santa Bárbara,0.4545450801813558,2020-06-14,PR
Paraná,Cafezal do Sul,0.5344812743504076,2020-06-14,PR
Paraná,Sarandi,0.4489617647201734,2020-06-14,PR
Paraná,Castro,0.4772922750649345,2020-06-14,PR
Paraná,Rio Negro,0.4858862872405216,2020-06-14,PR
Paraná,Clevelândia,0.4972667920119816,2020-06-14,PR
Paraná,Piraí do Sul,0.4761898012915566,2020-06-14,PR
Paraná,Nova Santa Rosa,0.4999989945127773,2020-06-14,PR
Paraná,Cruzeiro do Oeste,0.4388296310774069,2020-06-14,PR
Paraná,Barbosa Ferraz,0.3709685280235807,2020-06-14,PR
Paraná,Querência do Norte,0.4444442103299287,2020-06-14,PR
Paraná,Iretama,0.5128193293242042,2020-06-14,PR
Paraná,Munhoz de Mello,0.4761898012915566,2020-06-14,PR
Paraná,Terra Rica,0.4401542656053844,2020-06-14,PR
