state,city,isolation,date,acronym
Rio Grande do Sul,Planalto,0.5606042136213395,2020-06-14,RS
Rio Grande do Sul,Independência,0.4509800672926169,2020-06-14,RS
Rio Grande do Sul,Rolante,0.4481924849253981,2020-06-14,RS
Rio Grande do Sul,Flores da Cunha,0.5151502992899178,2020-06-14,RS
Rio Grande do Sul,Campo Bom,0.4514987860991795,2020-06-14,RS
Rio Grande do Sul,Bento Gonçalves,0.4839195853082469,2020-06-14,RS
Rio Grande do Sul,São Marcos,0.474776792791781,2020-06-14,RS
Rio Grande do Sul,Teutônia,0.4506169641280231,2020-06-14,RS
Rio Grande do Sul,Eldorado do Sul,0.4828693034622158,2020-06-14,RS
Rio Grande do Sul,Tupanciretã,0.5208320385813456,2020-06-14,RS
Rio Grande do Sul,Augusto Pestana,0.4852933163467293,2020-06-14,RS
Rio Grande do Sul,Cruzeiro do Sul,0.4621207325699261,2020-06-14,RS
Rio Grande do Sul,Terra de Areia,0.4952371558685333,2020-06-14,RS
Rio Grande do Sul,Tapejara,0.4435795444282502,2020-06-14,RS
Rio Grande do Sul,Cerro Largo,0.5649331578433796,2020-06-14,RS
Rio Grande do Sul,Anta Gorda,0.4629624717242117,2020-06-14,RS
Rio Grande do Sul,Picada Café,0.5280884921333188,2020-06-14,RS
Rio Grande do Sul,Bagé,0.5011501680913936,2020-06-14,RS
Rio Grande do Sul,Nova Prata,0.4428569307818474,2020-06-14,RS
Rio Grande do Sul,Marau,0.5288447478384873,2020-06-14,RS
Rio Grande do Sul,Canela,0.4793643603877193,2020-06-14,RS
Rio Grande do Sul,Rodeio Bonito,0.3835622550610537,2020-06-14,RS
Rio Grande do Sul,Brochier,0.384615981209938,2020-06-14,RS
Rio Grande do Sul,Xangri-lá,0.4746087220542099,2020-06-14,RS
Rio Grande do Sul,Ivoti,0.4648643472187596,2020-06-14,RS
Rio Grande do Sul,Bom Princípio,0.4736835704261649,2020-06-14,RS
Rio Grande do Sul,São Sebastião do Caí,0.503758340810865,2020-06-14,RS
Rio Grande do Sul,Herval,0.4615379900784976,2020-06-14,RS
Rio Grande do Sul,Alegrete,0.4677933225227203,2020-06-14,RS
Rio Grande do Sul,Encruzilhada do Sul,0.4999989945127774,2020-06-14,RS
Rio Grande do Sul,Rio Grande,0.5234125666986001,2020-06-14,RS
Rio Grande do Sul,Farroupilha,0.5075005211441209,2020-06-14,RS
Rio Grande do Sul,Vale Real,0.393617492886046,2020-06-14,RS
Rio Grande do Sul,Constantina,0.4954945525520059,2020-06-14,RS
Rio Grande do Sul,Dom Feliciano,0.4482755747563322,2020-06-14,RS
Rio Grande do Sul,Passo do Sobrado,0.5423712875335942,2020-06-14,RS
Rio Grande do Sul,São Jerônimo,0.4698789307991848,2020-06-14,RS
Rio Grande do Sul,São Pedro do Sul,0.4924614107291749,2020-06-14,RS
Rio Grande do Sul,Iraí,0.4918023870103899,2020-06-14,RS
Rio Grande do Sul,Entre-Ijuís,0.4691352255223061,2020-06-14,RS
Rio Grande do Sul,Condor,0.549017921732938,2020-06-14,RS
Rio Grande do Sul,Santa Vitória do Palmar,0.5271070518550108,2020-06-14,RS
Rio Grande do Sul,Nova Araçá,0.552379219599463,2020-06-14,RS
Rio Grande do Sul,Charqueadas,0.4755036573946914,2020-06-14,RS
Rio Grande do Sul,Morro Reuter,0.5102029344647291,2020-06-14,RS
Rio Grande do Sul,Roca Sales,0.4756090892617707,2020-06-14,RS
Rio Grande do Sul,Arroio do Sal,0.5355790248321298,2020-06-14,RS
Rio Grande do Sul,Garibaldi,0.4924519294917113,2020-06-14,RS
Rio Grande do Sul,Tuparendi,0.5176458083120352,2020-06-14,RS
Rio Grande do Sul,Viamão,0.5084654809075294,2020-06-14,RS
Rio Grande do Sul,Bom Retiro do Sul,0.4523806080703358,2020-06-14,RS
Rio Grande do Sul,Caxias do Sul,0.5059969118987299,2020-06-14,RS
Rio Grande do Sul,Feliz,0.4883712489861347,2020-06-14,RS
Rio Grande do Sul,Jaguarão,0.5398535136004732,2020-06-14,RS
Rio Grande do Sul,Santana da Boa Vista,0.4528298381311136,2020-06-14,RS
Rio Grande do Sul,Palmares do Sul,0.5298790577186919,2020-06-14,RS
Rio Grande do Sul,Santo Antônio das Missões,0.4931497745450289,2020-06-14,RS
Rio Grande do Sul,Serafina Corrêa,0.5094328257891102,2020-06-14,RS
Rio Grande do Sul,Parobé,0.4562097936043219,2020-06-14,RS
Rio Grande do Sul,Sinimbu,0.5849034759997724,2020-06-14,RS
Rio Grande do Sul,Santo Antônio da Patrulha,0.4684585844648103,2020-06-14,RS
Rio Grande do Sul,Casca,0.4999989945127772,2020-06-14,RS
Rio Grande do Sul,Tapes,0.468084544024758,2020-06-14,RS
Rio Grande do Sul,Lindolfo Collor,0.5304333545433815,2020-06-14,RS
Rio Grande do Sul,Panambi,0.5115032595559513,2020-06-14,RS
Rio Grande do Sul,General Câmara,0.6373597246352051,2020-06-14,RS
Rio Grande do Sul,Dom Pedrito,0.3974363160213646,2020-06-14,RS
Rio Grande do Sul,Canoas,0.504065790413405,2020-06-14,RS
Rio Grande do Sul,Novo Hamburgo,0.4854885626906092,2020-06-14,RS
Rio Grande do Sul,São José dos Ausentes,0.4999989945127774,2020-06-14,RS
Rio Grande do Sul,Tavares,0.4361700935367386,2020-06-14,RS
Rio Grande do Sul,Tapera,0.5466650132263702,2020-06-14,RS
Rio Grande do Sul,Itaqui,0.4729235581781761,2020-06-14,RS
Rio Grande do Sul,Pedro Osório,0.4699994110540391,2020-06-14,RS
Rio Grande do Sul,Sertão Santana,0.6399970506535558,2020-06-14,RS
Rio Grande do Sul,Lajeado,0.477470726279921,2020-06-14,RS
Rio Grande do Sul,Presidente Lucena,0.541665082649914,2020-06-14,RS
Rio Grande do Sul,Soledade,0.4195805306956469,2020-06-14,RS
Rio Grande do Sul,Ilópolis,0.4328357479633635,2020-06-14,RS
Rio Grande do Sul,Santo Cristo,0.459119058982002,2020-06-14,RS
Rio Grande do Sul,Palmeira das Missões,0.4649676337860131,2020-06-14,RS
Rio Grande do Sul,São Sepé,0.4478761661095642,2020-06-14,RS
Rio Grande do Sul,Pareci Novo,0.5263144185993899,2020-06-14,RS
