state,city,isolation,date,acronym
Roraima,Iracema,0.5253150986973667,2020-06-14,RR
Roraima,Bonfim,0.5285157088271674,2020-06-14,RR
Roraima,Caracaraí,0.4670653200570767,2020-06-14,RR
Roraima,São João da Baliza,0.394958436183862,2020-06-14,RR
Roraima,Mucajaí,0.4925364115628425,2020-06-14,RR
Roraima,Rorainópolis,0.4183446472910067,2020-06-14,RR
Roraima,Amajari,0.5109878529225715,2020-06-14,RR
Roraima,Boa Vista,0.5018822676487003,2020-06-14,RR
Roraima,Pacaraima,0.526529238387852,2020-06-14,RR
Roraima,São Luís,0.4102566508327912,2020-06-14,RR
Roraima,Normandia,0.4777770808396379,2020-06-14,RR
Roraima,Alto Alegre,0.5521960719593,2020-06-14,RR
Roraima,Cantá,0.5614016507148731,2020-06-14,RR
Roraima,Caroebe,0.4655167146751474,2020-06-14,RR
Roraima,Alto Alegre,0.5085714285714286,2020-06-13,RR
Roraima,Cantá,0.4592391304347826,2020-06-13,RR
Roraima,Normandia,0.43,2020-06-13,RR
Roraima,Caracaraí,0.4212034383954154,2020-06-13,RR
Roraima,Rorainópolis,0.3728070175438596,2020-06-13,RR
Roraima,Mucajaí,0.4254278728606357,2020-06-13,RR
Roraima,São João da Baliza,0.3583333333333333,2020-06-13,RR
Roraima,Pacaraima,0.444,2020-06-13,RR
Roraima,Amajari,0.5077720207253886,2020-06-13,RR
Roraima,Bonfim,0.5071428571428571,2020-06-13,RR
Roraima,Boa Vista,0.41122509064989,2020-06-13,RR
Roraima,Iracema,0.3969465648854962,2020-06-13,RR
Roraima,Caroebe,0.4132231404958678,2020-06-13,RR
Roraima,São Luís,0.3733333333333333,2020-06-13,RR
Roraima,Amajari,0.4948979591836734,2020-06-12,RR
Roraima,Caracaraí,0.3796791443850267,2020-06-12,RR
Roraima,São João da Baliza,0.2869565217391304,2020-06-12,RR
Roraima,Cantá,0.4145658263305322,2020-06-12,RR
Roraima,Pacaraima,0.4285714285714285,2020-06-12,RR
Roraima,Rorainópolis,0.3797216699801193,2020-06-12,RR
Roraima,Uiramutã,0.4259259259259259,2020-06-12,RR
Roraima,Normandia,0.4042553191489361,2020-06-12,RR
Roraima,Caroebe,0.4745762711864407,2020-06-12,RR
Roraima,Alto Alegre,0.4930747922437673,2020-06-12,RR
Roraima,Bonfim,0.447653429602888,2020-06-12,RR
Roraima,São Luís,0.3831168831168831,2020-06-12,RR
