state,city,isolation,date,acronym
Santa Catarina,Canoinhas,0.5138449561091182,2020-06-14,SC
Santa Catarina,Braço do Trombudo,0.4150945130257824,2020-06-14,SC
Santa Catarina,Braço do Norte,0.4772720373470668,2020-06-14,SC
Santa Catarina,São José do Cerrito,0.606058127952761,2020-06-14,SC
Santa Catarina,Mondaí,0.4843742114613513,2020-06-14,SC
Santa Catarina,São Francisco do Sul,0.4996874723584811,2020-06-14,SC
Santa Catarina,Rio Fortuna,0.3536595630067373,2020-06-14,SC
Santa Catarina,Santa Cecília,0.4545450801813559,2020-06-14,SC
Santa Catarina,Passo de Torres,0.4656244717996398,2020-06-14,SC
Santa Catarina,Anitápolis,0.4864856686304629,2020-06-14,SC
Santa Catarina,Garopaba,0.4698558723772031,2020-06-14,SC
Santa Catarina,Rio das Antas,0.4590159570008399,2020-06-14,SC
Santa Catarina,Jaguaruna,0.4671356010525007,2020-06-14,SC
Santa Catarina,Tijucas,0.4695408274145831,2020-06-14,SC
Santa Catarina,Ibirama,0.4967310660314334,2020-06-14,SC
Santa Catarina,São Lourenço do Oeste,0.4335936665442164,2020-06-14,SC
Santa Catarina,Antônio Carlos,0.492599520086732,2020-06-14,SC
Santa Catarina,Tubarão,0.4750100206791424,2020-06-14,SC
Santa Catarina,Trombudo Central,0.4757274868600766,2020-06-14,SC
Santa Catarina,Penha,0.4756177076028487,2020-06-14,SC
Santa Catarina,Siderópolis,0.5058812657791966,2020-06-14,SC
Santa Catarina,Governador Celso Ramos,0.5173171898055313,2020-06-14,SC
Santa Catarina,Doutor Pedrinho,0.5357127843446088,2020-06-14,SC
Santa Catarina,Capinzal,0.4100002441365627,2020-06-14,SC
Santa Catarina,Biguaçu,0.4795455143272048,2020-06-14,SC
Santa Catarina,Laurentino,0.4796740734702718,2020-06-14,SC
Santa Catarina,Presidente Getúlio,0.4563949487878673,2020-06-14,SC
Santa Catarina,São Bento do Sul,0.4871487056480532,2020-06-14,SC
Santa Catarina,Itapema,0.5080242656881272,2020-06-14,SC
Santa Catarina,Indaial,0.4879335249749965,2020-06-14,SC
Santa Catarina,Anita Garibaldi,0.3783790615719467,2020-06-14,SC
Santa Catarina,Pouso Redondo,0.3928576250172836,2020-06-14,SC
Santa Catarina,Quilombo,0.545452908844199,2020-06-14,SC
Santa Catarina,Piratuba,0.4487176552670711,2020-06-14,SC
Santa Catarina,Ipumirim,0.5999976060419048,2020-06-14,SC
Santa Catarina,Guaramirim,0.5305961218705016,2020-06-14,SC
Santa Catarina,Pinhalzinho,0.5019597516015838,2020-06-14,SC
Santa Catarina,Fraiburgo,0.4847862239961759,2020-06-14,SC
Santa Catarina,Xaxim,0.4891295802161334,2020-06-14,SC
Santa Catarina,Barra Velha,0.4890957191124054,2020-06-14,SC
Santa Catarina,Schroeder,0.5620548704617039,2020-06-14,SC
Santa Catarina,São José,0.4917130214684974,2020-06-14,SC
Santa Catarina,Rodeio,0.5137242941344224,2020-06-14,SC
Santa Catarina,Campos Novos,0.5082731113059676,2020-06-14,SC
Santa Catarina,Benedito Novo,0.5611492245845457,2020-06-14,SC
Santa Catarina,Blumenau,0.5245345139427345,2020-06-14,SC
Santa Catarina,Aurora,0.5312485606156296,2020-06-14,SC
Santa Catarina,São Domingos,0.4268292787597574,2020-06-14,SC
Santa Catarina,Major Vieira,0.5245888170199399,2020-06-14,SC
Santa Catarina,São José do Cedro,0.4117649255164884,2020-06-14,SC
Santa Catarina,Itá,0.5678992862918145,2020-06-14,SC
Santa Catarina,Campo Erê,0.4499996887482137,2020-06-14,SC
Santa Catarina,Jacinto Machado,0.4220779985160547,2020-06-14,SC
Santa Catarina,Laguna,0.4949578179462309,2020-06-14,SC
Santa Catarina,Ituporanga,0.4617112378462195,2020-06-14,SC
Santa Catarina,Jaraguá do Sul,0.5189221968626964,2020-06-14,SC
Santa Catarina,Ponte Serrada,0.4888880376762076,2020-06-14,SC
Santa Catarina,Garuva,0.5147813979562136,2020-06-14,SC
Santa Catarina,Correia Pinto,0.4100420845597967,2020-06-14,SC
Santa Catarina,Palhoça,0.5031486935986801,2020-06-14,SC
Santa Catarina,Balneário Barra do Sul,0.5158438449311251,2020-06-14,SC
Santa Catarina,Araquari,0.4934345342373422,2020-06-14,SC
Santa Catarina,Urussanga,0.5575739526659115,2020-06-14,SC
Santa Catarina,Porto Belo,0.4878298513108201,2020-06-14,SC
Santa Catarina,Pinheiro Preto,0.4999989945127775,2020-06-14,SC
Santa Catarina,Ouro,0.5324660761780784,2020-06-14,SC
Santa Catarina,Luzerna,0.5230755971733453,2020-06-14,SC
Santa Catarina,Monte Carlo,0.4423074878613577,2020-06-14,SC
Santa Catarina,Balneário Camboriú,0.5062735578034184,2020-06-14,SC
Santa Catarina,Corupá,0.4758613986264362,2020-06-14,SC
Santa Catarina,Vidal Ramos,0.4418602668795638,2020-06-14,SC
Santa Catarina,Agrolândia,0.4790412016773313,2020-06-14,SC
Santa Catarina,Água Doce,0.4814807331184946,2020-06-14,SC
Santa Catarina,Florianópolis,0.5309994364912877,2020-06-14,SC
Santa Catarina,Bombinhas,0.5402762130453425,2020-06-14,SC
Santa Catarina,Camboriú,0.4942002584596091,2020-06-14,SC
Santa Catarina,Guaraciaba,0.4999989945127774,2020-06-14,SC
Santa Catarina,Itajaí,0.5045248126811139,2020-06-14,SC
Santa Catarina,Rio do Oeste,0.4931497745450289,2020-06-14,SC
Santa Catarina,Mafra,0.507124786308202,2020-06-14,SC
Santa Catarina,Urubici,0.4142858989163824,2020-06-14,SC
Santa Catarina,Rio Negrinho,0.5250365831353966,2020-06-14,SC
Santa Catarina,Criciúma,0.4806913917381095,2020-06-14,SC
Santa Catarina,Chapecó,0.5034921924003809,2020-06-14,SC
Santa Catarina,Seara,0.5180167623558635,2020-06-14,SC
Santa Catarina,Joaçaba,0.4855634994101476,2020-06-14,SC
Santa Catarina,São Carlos,0.5588217071769699,2020-06-14,SC
Santa Catarina,Porto União,0.5257718325357484,2020-06-14,SC
Santa Catarina,Rio dos Cedros,0.5543460659959987,2020-06-14,SC
Santa Catarina,Armazém,0.4444442103299288,2020-06-14,SC
Santa Catarina,Dionísio Cerqueira,0.4234234811796619,2020-06-14,SC
Santa Catarina,Timbó,0.5084416540227411,2020-06-14,SC
Santa Catarina,Videira,0.4789074759520433,2020-06-14,SC
Santa Catarina,Anchieta,0.5357127843446087,2020-06-14,SC
Santa Catarina,Cocal do Sul,0.4290123258346929,2020-06-14,SC
Santa Catarina,Irani,0.4454542973150714,2020-06-14,SC
Santa Catarina,Irineópolis,0.6097535681423074,2020-06-14,SC
Santa Catarina,Imaruí,0.4776112456629728,2020-06-14,SC
Santa Catarina,Içara,0.4864345140845363,2020-06-14,SC
Santa Catarina,Concórdia,0.5020608215546151,2020-06-14,SC
Santa Catarina,Salete,0.3787885562956532,2020-06-14,SC
Santa Catarina,Capivari de Baixo,0.4350796225633438,2020-06-14,SC
Santa Catarina,Canelinha,0.5204068744166809,2020-06-14,SC
Santa Catarina,Turvo,0.4625845480222874,2020-06-14,SC
Santa Catarina,Itaiópolis,0.55719377232464,2020-06-14,SC
Santa Catarina,Balneário Gaivota,0.5361201659776713,2020-06-14,SC
Santa Catarina,Caibi,0.4444442103299288,2020-06-14,SC
Santa Catarina,Apiúna,0.5260101940434753,2020-06-14,SC
Santa Catarina,Bom Retiro,0.4969315524413318,2020-06-14,SC
Santa Catarina,Palma Sola,0.4285714148491149,2020-06-14,SC
Santa Catarina,Lages,0.4685362016510732,2020-06-14,SC
Santa Catarina,São Bonifácio,0.469135225522306,2020-06-14,SC
Santa Catarina,Itapoá,0.5269447281583507,2020-06-14,SC
Santa Catarina,Angelina,0.5765745078458929,2020-06-14,SC
Santa Catarina,Campo Alegre,0.5172401344315923,2020-06-14,SC
Santa Catarina,Joinville,0.5012166804858246,2020-06-14,SC
Santa Catarina,Orleans,0.5150489527696696,2020-06-14,SC
Santa Catarina,Massaranduba,0.4975359745243752,2020-06-14,SC
Santa Catarina,Descanso,0.5740720400899089,2020-06-14,SC
Santa Catarina,Guabiruba,0.5028452548029801,2020-06-14,SC
Santa Catarina,Rio do Campo,0.5079353922531843,2020-06-14,SC
